iter	Passed	Remaining
0	5	279
1	9	228
2	12	195
3	15	180
4	18	168
5	21	160
6	25	155
7	28	148
8	31	142
9	34	138
10	37	132
11	40	127
12	43	123
13	45	117
14	48	114
15	52	110
16	55	107
17	58	103
18	61	101
19	64	97
20	67	93
21	70	90
22	74	86
23	77	83
24	80	80
25	83	77
26	86	73
27	89	70
28	93	67
29	97	65
30	101	62
31	104	58
32	107	55
33	110	51
34	112	48
35	115	45
36	118	41
37	121	38
38	124	35
39	127	31
40	130	28
41	133	25
42	136	22
43	139	19
44	142	15
45	145	12
46	148	9
47	151	6
48	153	3
49	156	0
